1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
4869.183039,4914.763714,4069.977916,6935.927577,13992.70679,22324.40676,26764.20431,24044.61058,37716.56198,35532.80608,36978.14625,31761.25515,32612.12439,21178.60471,12023.53358,15989.80533,18701.26148,12654.89801,18884.81544,12918.89249,25033.90634,26875.17056,17722.17435,9394.191403,13935.89889,21124.87844,10706.42461,5121.94413,19387.134,18646.04897,6563.035184,7335.942566,814.1860592,5793.972855,13330.82811,7831.334681
3210.915372,5449.510305,4263.913559,8255.321098,15087.18982,23428.42949,27358.44431,24956.65122,37529.67453,35623.0099,37282.14706,31463.32938,32391.06048,20303.46085,11697.12415,15510.14525,17515.86873,11720.43429,17361.06379,11505.78013,23270.83635,25232.48956,18574.46264,7784.450111,12126.45786,19317.1007,9673.663985,6499.162703,20500.87408,20033.02678,8212.09496,8201.274229,1836.322744,3990.394329,12112.16837,6031.203322
2672.738452,6181.895561,4996.485541,8905.16933,15788.52803,24131.56954,28092.2747,25680.62147,38185.26596,36321.39498,38002.0439,32099.34771,33041.81372,20791.08784,12347.26324,16119.7558,17881.54345,12207.06947,17525.70774,11764.72439,22847.92461,24691.25932,19301.36838,7915.582778,11866.08947,19080.21997,10132.98929,7128.399395,21201.80706,20676.2687,8737.899942,8920.95056,1937.175151,3842.157585,11411.48573,5873.946086
3072.288355,6498.896541,5404.078277,8907.518346,15909.28757,24250.35752,28440.08165,25892.59852,38794.46167,36849.81837,38460.93013,32734.84859,33658.06346,21536.3325,12965.86967,16784.27693,18659.25993,12951.44777,18296.8276,12547.08613,23264.4575,24954.79495,19536.74623,8684.454555,12446.68031,19668.6001,10887.13272,7100.464943,21314.96151,20635.60886,8524.620032,9133.641843,1466.747465,4533.574638,11351.43046,6543.3786
2474.847974,7311.941548,6169.876602,9785.010754,16781.17661,25123.17406,29246.80913,26748.46534,39388.15243,37532.58063,39201.45979,33292.72492,34242.68663,21866.92845,13549.76568,17299.55589,18830.55749,13291.73351,18224.12224,12604.75443,22565.32997,24156.26009,20385.55532,8625.357072,11934.82322,19153.96047,11197.16756,7977.334606,22188.24171,21509.38219,9367.956107,9985.401131,2274.152935,4283.123022,10474.03029,6211.425311
1607.87118,7204.806613,5962.070194,10040.12345,16890.57875,25231.037,29049.96334,26735.88127,38792.78266,37067.4944,38840.76846,32656.00829,33638.13887,21026.13826,12972.91009,16631.03348,17895.71061,12471.13086,17210.01466,11627.55288,21808.14673,23573.93841,20346.35786,7619.202707,11002.02356,18224.71425,10360.13961,8266.881035,22304.23712,21813.48266,9860.385718,9992.267765,2911.351357,3260.041897,10310.24131,5199.540476
0,8306.593564,6985.396272,11435.7531,18127.93283,26446.82312,29901.2348,27819.82257,38987.05112,37499.71695,39440.33076,32778.06415,33822.22079,20703.14826,13299.46977,16743.64399,17287.40105,12260.39171,16190.7722,10879.18655,20201.82412,22029.43298,21414.9161,6745.634468,9461.624244,16679.54635,10132.58679,9699.959079,23533.54351,23210.74771,11401.49758,11170.24819,4518.354049,2286.539907,9196.632799,3918.755048
1642.192452,8502.488261,7282.929154,11164.30575,18108.54707,26452.35783,30378.8559,28012.74368,40074.70424,38393.13263,40180.01857,33918.02362,34916.64166,22114.4955,14273.04809,17882.71371,18824.73273,13600.22674,17829.08268,12456.99122,21267.11842,22761.98852,21631.75218,8348.703231,10906.03467,18094.64963,11476.71512,9364.492433,23520.54817,22907.26254,10784.94066,11253.37325,3689.713526,3877.391811,9103.778099,5556.752188
1565.653753,6740.945686,5422.082255,9929.37799,16567.29081,24883.01174,28386.71536,26258.12834,37791.51445,36163.80001,38022.37521,31628.62391,32632.09591,19893.79862,12007.69668,15592.36584,16747.36072,11349.81958,16123.18926,10491.61696,21428.06518,23449.9597,19854.0264,6516.22718,10324.71673,17532.47709,9233.435696,8222.142662,21971.13242,21693.21761,10032.3088,9606.206427,3489.077278,2289.307393,10751.56074,4314.452342
2997.488461,5376.386588,4028.298548,8799.223929,15240.88955,23530.42393,26913.60529,24840.30223,36410.29775,34716.18399,36549.03774,30275.86153,31255.62355,18791.86113,10593.97459,14255.82629,15878.32625,10211.0116,15677.49361,9821.713079,22258.51248,24528.93984,18433.96307,6117.259876,10845.35457,17968.08258,8127.352848,7178.582965,20630.08683,20500.26018,9183.80116,8266.269799,3504.077735,2720.359238,12191.73811,4672.996838
2128.879778,9238.097683,7872.046683,12758.88027,19094.20498,27327.25569,30174.31723,28469.425,38317.64018,37146.72387,39313.86157,32035.21206,33154.37658,19485.23954,12994.71593,16097.82827,15777.52949,11286.1834,14287.84753,9294.916917,18400.21845,20569.20823,22073.97147,5140.988359,7373.801135,14596.51017,9197.967591,11120.84791,24451.05923,24447.60684,13032.71618,12131.36033,6457.616951,1501.672782,8983.724594,1959.715863
4962.451893,12735.27271,11369.23377,16210.91242,22589.59249,30810.68514,33432.14302,31897.81593,40710.66707,39896.18887,42266.80964,34364.69116,35571.59017,21239.74747,15971.92031,18698.71175,17054.71568,13622.07647,14507.63582,10706.39589,15277.96077,17127.42583,25513.64821,6990.539242,5508.964412,12392.51117,11677.17595,14536.29017,27940.51368,27929.6602,16341.37472,15628.46146,9461.541635,4948.509206,6337.230383,4047.35313
9275.126305,1233.965321,2526.737584,2793.024247,8853.43952,17181.79512,21357.18507,18708.16173,32993.76652,30446.94133,31693.65357,27262.59615,27973.29986,18261.00719,8164.333498,12219.86342,16939.52195,10488.1892,18603.79164,12538.76278,28307.11931,30873.93659,12346.4805,10455.67658,16576.94942,23334.41462,9156.159431,2163.598072,14262.28252,14120.72263,4493.148598,1944.055799,6219.444736,8957.338637,18368.72064,10596.2287
8306.593564,0,1366.276515,4017.24442,9869.008625,18155.07374,21941.18513,19539.49569,32984.36439,30648.50163,32064.18836,27142.67644,27918.55743,17594.86664,7689.931034,11763.65375,16021.1881,9584.196463,17489.64647,11401.0502,27100.07545,29726.39016,13144.07966,9224.399313,15355.24435,22100.47263,8121.278435,3112.114551,15253.75655,15278.29928,5522.768246,2895.62563,5727.472736,7823.144943,17469.56903,9406.123276
