Method,f1_mean,f1_std,f2_mean,f2_std,f3_mean,f3_std,infeas_rate_mean,infeas_rate_std,E_Oel_mean,E_Oel_std,E_Ocmp_mean,E_Ocmp_std
Fixed quota,19591.943018018,3.83476636994404e-12,0,0,4936.09845939046,9.58691592486011e-13,0,0,0,0,0,0
Central-PSO,2558.88141891892,1888.05790126943,0,0,763.489638844,520.924748782117,0,0,0,0,0,0
MA-PSO,2656.64256756757,1310.21691339901,0,0,727.614730299143,344.101725080469,0,0,0,0,0,0
MA-PSO + Kalman,2771.95323947243,1501.35184154395,0,0,755.288131505048,408.369375878871,0,0,0,0,0,0
MA-PSO + VA,9400.65668548931,3027.48456355097,0,0,2453.82872879027,754.991823058953,0,0,0,0,0,0
FULL (MA-PSO + Kalman + VA),1844.88755989751,1855.69020384468,0,0,498.936094838874,508.886659698834,0,0,0,0,0,0
