Method,Y_base_mean,Y_base_std,Y_mean,Y_std,f1_mean,f1_std,f2_mean,f2_std,f3_mean,f3_std,infeas_rate_mean,infeas_rate_std,E_Oel_mean,E_Oel_std,E_Ocmp_mean,E_Ocmp_std
Fixed quota,54068.4068239794,0,54068.4068239794,0,19591.943018018,3.83476636994404e-12,0,0,4936.09845939046,9.58691592486011e-13,0,0,0,0,0,0
Central-PSO,7655.77032259838,5408.0518625874,7655.77032259838,5408.0518625874,2558.88141891892,1888.05790126943,0,0,763.489638844,520.924748782117,0,0,0,0,0,0
MA-PSO,7623.03750284706,3653.80137500648,7623.03750284706,3653.80137500648,2656.64256756757,1310.21691339901,0,0,727.614730299143,344.101725080469,0,0,0,0,0,0
MA-PSO + Kalman,7934.37051673388,4245.38802732565,7934.37051673388,4245.38802732565,2771.95323947243,1501.35184154395,0,0,755.288131505048,408.369375878871,0,0,0,0,0,0
MA-PSO + VA,26370.1286721853,8288.6395183307,26370.1286721853,8288.6395183307,9400.65668548931,3027.48456355097,0,0,2453.82872879027,754.991823058953,0,0,0,0,0,0
FULL (MA-PSO + Kalman + VA),5262.01181404064,5321.87855322599,5262.01181404064,5321.87855322599,1844.88755989751,1855.69020384468,0,0,498.936094838874,508.886659698834,0,0,0,0,0,0
