Method,Y_base_mean,Y_base_std,Y_mean,Y_std,f1_mean,f1_std,f2_mean,f2_std,f3_mean,f3_std,infeas_rate_mean,infeas_rate_std,E_Oel_mean,E_Oel_std,E_Ocmp_mean,E_Ocmp_std
Fixed quota,54069.5000672226,1.53390654797762e-11,27081096.5270943,0,19591.943018018,3.83476636994404e-12,1.09324324324324,2.3405556457178e-16,4936.09845939046,9.58691592486011e-13,0.027027027027027,0,0,0,0.0042363791523241,9.14279549108516e-19
Central-PSO,15977.4369476453,10500.6508149569,15977.4369476453,10500.6508149569,5786.9045045045,3945.55780855595,0,0,1459.4160381777,922.093586890829,0,0,0,0,0,0
MA-PSO,12266.7794436883,8072.53497885667,12266.7794436883,8072.53497885667,4234.20405405405,2845.88608749625,0,0,1183.09467252144,766.197739334696,0,0,0,0,0,0
MA-PSO + Kalman,15058.8724190847,6172.2904885343,15058.8724190847,6172.2904885343,5347.46047732366,2371.57120440481,0,0,1407.53634061983,532.566804714997,0,0,0,0,0,0
MA-PSO + VA,34431.5839082721,12519.5806497107,73007404.5568812,169056020.373181,12491.7467718229,4511.00642005328,2.83464081025491,7.13481544441684,3138.2258219455,1153.54179725889,0.072972972972973,0.169047998729719,0,0,0.0108682094747161,0.0269986160956186
FULL (MA-PSO + Kalman + VA),22776.3285408453,9782.35477625852,2725479.03124355,8551153.51588126,8212.72057077837,3516.72793180402,0.0994100628943787,0.314362221086827,2091.42965492298,906.472130558859,0.0027027027027027,0.00854669637883346,0,0,0.000387266086515507,0.00122464289392882
