Method,f1_mean,f1_std,f2_mean,f2_std,f3_mean,f3_std,infeas_rate_mean,infeas_rate_std,E_Oel_mean,E_Oel_std,E_Ocmp_mean,E_Ocmp_std
Fixed quota,19591.943018018,3.83476636994404e-12,1.09324324324324,2.3405556457178e-16,4936.09845939046,9.58691592486011e-13,0.027027027027027,0,0,0,0.0042363791523241,9.14279549108516e-19
Central-PSO,5393.81351351351,3816.24991697349,0,0,1423.56845327796,853.977194261765,0,0,0,0,0,0
MA-PSO,2761.07297297297,2791.4200400311,0,0,762.986832584437,768.031200411828,0,0,0,0,0,0
MA-PSO + Kalman,2465.56094362649,1455.76508325072,0.00965852449046163,0.030542936226376,663.585488264785,422.430253818805,0.0027027027027027,0.00854669637883346,0,0,0.00031999315505448,0.00101190720563558
MA-PSO + VA,3550.80067567567,2977.82602768957,0,0,938.719800614968,804.925124257349,0,0,0,0,0,0
FULL (MA-PSO + Kalman + VA),2376.55727274444,1095.67438445913,0,0,698.765758453379,329.979229346293,0,0,0,0,0,0
