Method,Y_base_mean,Y_base_std,Y_mean,Y_std,f1_mean,f1_std,f2_mean,f2_std,f3_mean,f3_std,infeas_rate_mean,infeas_rate_std,E_Oel_mean,E_Oel_std,E_Ocmp_mean,E_Ocmp_std
Fixed quota,54069.5000672226,1.53390654797762e-11,27081096.5270943,0,19591.943018018,3.83476636994404e-12,1.09324324324324,2.3405556457178e-16,4936.09845939046,9.58691592486011e-13,0.027027027027027,0,0,0,0.0042363791523241,9.14279549108516e-19
Central-PSO,15208.5625366601,9965.04165973201,15208.5625366601,9965.04165973201,5393.81351351351,3816.24991697349,0,0,1423.56845327796,853.977194261765,0,0,0,0,0,0
MA-PSO,7956.54362238165,8016.4020855428,7956.54362238165,8016.4020855428,2761.07297297297,2791.4200400311,0,0,762.986832584437,768.031200411828,0,0,0,0,0,0
MA-PSO + Kalman,7016.27851528815,4282.71296962674,2709718.98121799,8547147.72963875,2465.56094362649,1455.76508325072,0.00965852449046163,0.030542936226376,663.585488264785,422.430253818805,0.0027027027027027,0.00854669637883346,0,0,0.00031999315505448,0.00101190720563558
MA-PSO + VA,10019.8000165884,8468.68466392837,10019.8000165884,8468.68466392837,3550.80067567567,2977.82602768957,0,0,938.719800614968,804.925124257349,0,0,0,0,0,0
FULL (MA-PSO + Kalman + VA),7058.66470138355,3271.47971202799,7058.66470138355,3271.47971202799,2376.55727274444,1095.67438445913,0,0,698.765758453379,329.979229346293,0,0,0,0,0,0
