Case,f1,f2,CVaR,feasible,mean_cost,coupling_edge_overload_rate,coupling_edge_energy_share,status
C1,17433.9999997267,1259.07527017459,4361.3713116559,1,17433.9999997267,0,0.284982965301805,OK
C2,24280.3535201265,1259.89866454096,10912.011424396,1,24280.3535201265,0,0.284997025974241,OK
C3,25539.4541862872,29.6953528771226,10901.3989581093,1,25539.4541862872,0,0.237793001067668,OK
C4,25489.1917424662,29.1935802216272,10981.7460935633,1,25489.1917424662,0,0.238027595731885,OK
C5,25406.568007337,15.1813038743698,10726.8968799796,1,25406.568007337,0,0.233692636554063,OK
