Method,f1_mean,f1_std,f2_mean,f2_std,f3_mean,f3_std,infeas_rate_mean,infeas_rate_std,E_Oel_mean,E_Oel_std,E_Ocmp_mean,E_Ocmp_std
Fixed quota,19591.943018018,3.83476636994404e-12,1.09324324324324,2.3405556457178e-16,4936.09845939046,9.58691592486011e-13,0.027027027027027,0,0,0,0.0042363791523241,9.14279549108516e-19
Central-PSO,5393.81351351351,3816.24991697349,0,0,1423.56845327796,853.977194261765,0,0,0,0,0,0
MA-PSO,16732.1503275103,3278.94591290257,0.0103332310432849,0.0218450497685384,4192.52608531894,840.828330112683,0.0027027027027027,0.00854669637883346,0,0,0.000207095888912088,0.000565974621270849
MA-PSO + Kalman,17937.0122996806,982.607934995265,0.0761750018493949,0.13567452906145,4500.15798154274,234.868872956611,0.0027027027027027,0.00854669637883346,0,0,0.00065814992422559,0.00127811524650576
MA-PSO + VA,3220.83896396396,3043.53703567385,0.00969684061331917,0.0306641024457127,843.499028474187,816.473590544721,0.0027027027027027,0.00854669637883346,0,0,0.000218195020087544,0.000689993237582831
FULL (MA-PSO + Kalman + VA),3530.83536036036,891.781044013477,0.00380841848509651,0.012043276695993,996.172365236236,317.239808982552,0.0027027027027027,0.00854669637883346,0,0,0.000155771614316943,0.000492593096042834
