net_name,case_id,case_name,mean_J,cvar_L_alpha,mean_Oel,p95_Oel,mean_DW,infeas_rate,runtime_sec,f3_eval,infeas_mode
IEEE33,C1,Baseline,3318.43614818891,4051.22122048387,0,0,1144.41847344388,1,0.011414,4051.22122048387,proxy
IEEE33,C2,+Coupling,9868.80341985243,10623.1971471385,0,0,1145.26630371193,1,0.0072401,10623.1971471385,proxy
IEEE33,C3,+CVaR,8929.60463376219,10296.6850337163,0,0,24.18115648691,0.648648648648649,0.0082773,10296.6850337163,proxy
IEEE33,C4,+OPF,8935.73373942217,10313.6866374173,0,0,23.8045248293103,0.648648648648649,0.0081356,10313.6866374173,proxy
IEEE33,C5,Full(Proposed),8805.55509064845,10167.9812650688,0,0,17.8272145657308,0.540540540540541,0.1186955,10167.9812650688,proxy
