Method,f1,f2,CVaR,feasible,mean_cost,status
Fixed-Quantile,25119.4400701985,408.851827480308,10287.8626469318,1,25119.4400701985,OK
Proposed,25075.2853914653,359.193922376683,10216.8812573694,1,25075.2853914653,OK
