Method,Y_base_mean,Y_base_std,Y_mean,Y_std,f1_mean,f1_std,f2_mean,f2_std,f3_mean,f3_std,infeas_rate_mean,infeas_rate_std,E_Oel_mean,E_Oel_std,E_Ocmp_mean,E_Ocmp_std
Fixed quota,54069.5000672226,1.53390654797762e-11,27081096.5270943,0,19591.943018018,3.83476636994404e-12,1.09324324324324,2.3405556457178e-16,4936.09845939046,9.58691592486011e-13,0.027027027027027,0,0,0,0.0042363791523241,9.14279549108516e-19
Central-PSO,15208.5625366601,9965.04165973201,15208.5625366601,9965.04165973201,5393.81351351351,3816.24991697349,0,0,1423.56845327796,853.977194261765,0,0,0,0,0,0
MA-PSO,10226.8341490436,1875.04495991751,10226.8341490436,1875.04495991751,3508.1231981982,783.609565970793,0.000772674999371143,0.00244341288908198,992.929715814252,154.515814297826,0,0,0,0,6.4853767363978e-05,0.000205085619712865
MA-PSO + Kalman,12624.5607492588,3384.48900625913,12624.5607492588,3384.48900625913,4376.08744999502,1130.8000724021,0,0,1212.08591485325,349.800847529742,0,0,0,0,0,0
MA-PSO + VA,10536.3323510625,2228.86586568358,10536.3323510625,2228.86586568358,3623.42849099099,890.446176149246,0,0,1020.2379229152,191.811653946973,0,0,0,0,0,0
FULL (MA-PSO + Kalman + VA),43492.6842094868,7527.18189017597,154097546.738264,329299077.569183,15713.7331383242,2760.23723578579,19.0551662576028,54.700047269282,3980.60586714857,686.859931958821,0.154054054054054,0.329303618725544,0,0,0.0773704074330446,0.210619530818127
