Method,Fitness_mean,Fitness_std,f1_mean,f1_std,f2_mean,f2_std,f3_mean,f3_std,f4_mean,f4_std
Plain,4573.62110346049,1124.41303485341,2282.98629291449,1288.78184898758,0.0146714050030694,0.00977035692479839,0.0236914202001514,0.0233377428294482,2290.58177631579,165.43230721477
KalmanOnly,6369.93113389972,1817.30218062887,4326.59743043169,2074.90355914936,0.0268598215445073,0.0129941342934487,0.0461507754138271,0.0221836621131774,2043.23383304953,258.25010331626
VAOnly,11280.0786610084,2175.31634533432,9916.77697428488,2469.96012404261,0.061716285618212,0.0150576180467987,0.378365430788942,1.04402733860903,1362.79988872153,295.965138712058
Full,9877.76971900724,3174.39868963706,8318.95964055661,3610.76960354297,0.0519209339105085,0.0216009344898446,0.430859299842076,1.03227731481608,1558.27537728297,437.681964786753
